Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
465,85.90,0.1000,120.00,85.90
466,323.80,0.1000,370.00,323.80
467,78.40,0.1000,130.00,78.40
468,179.55,0.1000,240.00,179.55
469,188.15,0.1000,230.00,188.15
470,317.20,0.1000,370.00,317.20
471,150.45,0.1000,185.00,150.45
472,457.45,0.1000,535.00,457.45
473,392.10,0.1000,445.00,392.10
474,211.55,0.1000,260.00,211.55
475,338.10,0.1000,405.00,338.10
476,499.55,0.1000,560.00,499.55
477,349.15,0.1000,425.00,349.15
478,181.40,0.1000,230.00,181.40
479,170.95,0.1000,230.00,170.95
480,323.40,0.1000,380.00,323.40
481,145.35,0.1000,185.00,145.35
482,341.85,0.1000,400.00,341.85
483,191.70,0.1000,235.00,191.70
484,110.15,0.1000,150.00,110.15
485,317.80,0.1000,370.00,317.80
486,145.75,0.1000,195.00,145.75
487,129.85,0.1000,185.00,129.85
488,288.35,0.1000,345.00,288.35
489,53.00,0.1000,85.00,53.00
490,246.30,0.1000,305.00,246.30
491,225.35,0.1000,280.00,225.35
492,193.00,0.1000,230.00,193.00
493,534.00,0.1000,595.00,534.00
494,331.90,0.1000,380.00,331.90
495,323.30,0.1000,375.00,323.30
496,454.65,0.1000,525.00,454.65
497,244.00,0.1000,300.00,244.00
498,310.05,0.1000,375.00,310.05
499,131.10,0.1000,165.00,131.10
500,423.90,0.1000,515.00,423.90
501,189.10,0.1000,230.00,189.10
502,225.80,0.1000,270.00,225.80
503,254.35,0.1000,315.00,254.35
504,458.75,0.1000,555.00,458.75
505,394.75,0.1000,470.00,394.75
506,252.05,0.1000,310.00,252.05
507,133.95,0.1000,190.00,133.95
508,303.95,0.1000,360.00,303.95
509,226.45,0.1000,290.00,226.45
510,288.25,0.1000,355.00,288.25
511,208.70,0.1000,260.00,208.70
512,257.40,0.1000,335.00,257.40
513,220.95,0.1000,290.00,220.95
514,216.25,0.1000,275.00,216.25
515,200.65,0.1000,230.00,200.65
516,383.90,0.1000,455.00,383.90
517,250.75,0.1000,320.00,250.75
518,165.00,0.1000,230.00,165.00
519,221.05,0.1000,290.00,221.05
520,426.80,0.1000,490.00,426.80
521,248.55,0.1000,315.00,248.55
522,331.70,0.1000,395.00,331.70
523,253.60,0.1000,320.00,253.60
524,354.80,0.1000,415.00,354.80
525,49.60,0.1000,85.00,49.60
526,238.20,0.1000,320.00,238.20
527,197.75,0.1000,255.00,197.75
528,172.40,0.1000,210.00,172.40
529,499.05,0.1000,600.00,499.05
530,327.40,0.1000,410.00,327.40
531,401.80,0.1000,485.00,401.80
532,287.25,0.1000,355.00,287.25
533,278.75,0.1000,340.00,278.75
534,246.40,0.1000,315.00,246.40
535,193.50,0.1000,250.00,193.50
536,279.65,0.1000,385.00,279.65
537,149.90,0.1000,195.00,149.90
538,219.45,0.1000,265.00,219.45
539,456.60,0.1000,550.00,456.60
540,206.80,0.1000,245.00,206.80
541,240.70,0.1000,290.00,240.70
542,544.90,0.1000,630.00,544.90
543,237.60,0.1000,285.00,237.60
544,420.50,0.1000,490.00,420.50
545,226.55,0.1000,290.00,226.55
546,245.45,0.1000,320.00,245.45
547,111.20,0.1000,165.00,111.20
548,447.20,0.1000,535.00,447.20
549,330.60,0.1000,395.00,330.60
550,202.35,0.1000,275.00,202.35
551,190.55,0.1000,255.00,190.55
552,320.20,0.1000,385.00,320.20
553,275.00,0.1000,345.00,275.00
554,166.75,0.1000,250.00,166.75
555,216.85,0.1000,285.00,216.85
556,173.90,0.1000,240.00,173.90
557,239.65,0.1000,315.00,239.65
558,183.45,0.1000,250.00,183.45
559,215.40,0.1000,280.00,215.40
560,178.55,0.1000,215.00,178.55
561,120.85,0.1000,165.00,120.85
562,299.00,0.1000,365.00,299.00
563,152.15,0.1000,210.00,152.15
564,187.30,0.1000,240.00,187.30
565,283.55,0.1000,340.00,283.55
566,328.90,0.1000,400.00,328.90
567,276.60,0.1000,350.00,276.60
568,1003.80,0.1000,1155.00,1003.80
569,147.20,0.1000,190.00,147.20
570,34.70,0.1000,80.00,34.70
571,265.20,0.1000,315.00,265.20
572,135.40,0.1000,200.00,135.40
573,170.75,0.1000,215.00,170.75
574,152.10,0.1000,200.00,152.10
575,108.65,0.1000,140.00,108.65
576,400.10,0.1000,485.00,400.10
577,132.55,0.1000,185.00,132.55
578,249.90,0.1000,320.00,249.90
579,123.15,0.1000,195.00,123.15
580,95.10,0.1000,140.00,95.10
581,151.85,0.1000,190.00,151.85
582,256.60,0.1000,325.00,256.60
583,494.80,0.1000,590.00,494.80
584,358.80,0.1000,445.00,358.80
585,301.30,0.1000,380.00,301.30
586,259.90,0.1000,330.00,259.90
587,322.75,0.1000,405.00,322.75
588,61.40,0.1000,80.00,61.40
589,216.80,0.1000,265.00,216.80
590,180.20,0.1000,245.00,180.20
591,293.05,0.1000,360.00,293.05
592,158.55,0.1000,215.00,158.55
593,189.45,0.1000,255.00,189.45
594,169.90,0.1000,225.00,169.90
595,217.50,0.1000,290.00,217.50
596,529.00,0.1000,620.00,529.00
597,176.15,0.1000,220.00,176.15
598,208.50,0.1000,255.00,208.50
599,204.75,0.1000,270.00,204.75
600,364.95,0.1000,455.00,364.95
601,328.60,0.1000,410.00,328.60
602,299.75,0.1000,370.00,299.75
603,303.65,0.1000,375.00,303.65
604,282.15,0.1000,350.00,282.15
605,136.85,0.1000,175.00,136.85
606,279.00,0.1000,335.00,279.00
607,199.95,0.1000,255.00,199.95
608,183.15,0.1000,220.00,183.15
609,374.45,0.1000,435.00,374.45
610,323.85,0.1000,395.00,323.85
611,167.20,0.1000,230.00,167.20
612,276.30,0.1000,340.00,276.30
613,293.30,0.1000,370.00,293.30
614,284.10,0.1000,340.00,284.10
615,428.80,0.1000,485.00,428.80
616,228.75,0.1000,295.00,228.75
617,251.65,0.1000,325.00,251.65
618,214.80,0.1000,285.00,214.80
619,210.70,0.1000,260.00,210.70
620,115.30,0.1000,175.00,115.30
621,306.90,0.1000,390.00,306.90
622,346.80,0.1000,390.00,346.80
623,142.45,0.1000,205.00,142.45
624,129.05,0.1000,170.00,129.05
625,228.65,0.1000,290.00,228.65
626,62.25,0.1000,85.00,62.25
627,94.70,0.1000,120.00,94.70
628,273.05,0.1000,315.00,273.05
629,123.50,0.1000,160.00,123.50
630,218.45,0.1000,280.00,218.45
631,357.30,0.1000,435.00,357.30
632,635.35,0.1000,725.00,635.35
633,20.25,0.1000,55.00,20.25
634,455.00,0.1000,525.00,455.00
635,235.60,0.1000,290.00,235.60
636,116.95,0.1000,165.00,116.95
637,213.90,0.1000,270.00,213.90
638,20.65,0.1000,55.00,20.65
639,232.70,0.1000,270.00,232.70
640,59.25,0.1000,95.00,59.25
641,87.95,0.1000,120.00,87.95
642,74.10,0.1000,125.00,74.10
643,258.20,0.1000,320.00,258.20
644,219.40,0.1000,285.00,219.40
645,223.50,0.1000,270.00,223.50
646,543.60,0.1000,645.00,543.60
647,473.95,0.1000,575.00,473.95
648,139.15,0.1000,180.00,139.15
649,334.20,0.1000,400.00,334.20
650,125.35,0.1000,170.00,125.35
651,186.00,0.1000,255.00,186.00
652,498.00,0.1000,560.00,498.00
653,364.55,0.1000,465.00,364.55
654,205.40,0.1000,260.00,205.40
655,256.20,0.1000,315.00,256.20
656,101.35,0.1000,165.00,101.35
657,233.40,0.1000,310.00,233.40
658,290.10,0.1000,365.00,290.10
659,310.50,0.1000,390.00,310.50
660,245.55,0.1000,305.00,245.55
661,70.50,0.1000,105.00,70.50
662,305.70,0.1000,390.00,305.70
663,371.55,0.1000,440.00,371.55
664,83.65,0.1000,130.00,83.65
665,148.80,0.1000,190.00,148.80
666,464.25,0.1000,505.00,464.25
667,266.70,0.1000,330.00,266.70
668,94.95,0.1000,140.00,94.95
669,112.20,0.1000,155.00,112.20
670,161.55,0.1000,225.00,161.55
671,217.70,0.1000,270.00,217.70
672,109.20,0.1000,145.00,109.20
673,268.35,0.1000,340.00,268.35
674,166.95,0.1000,230.00,166.95
675,274.50,0.1000,345.00,274.50
676,145.65,0.1000,190.00,145.65
677,231.25,0.1000,280.00,231.25
678,327.05,0.1000,390.00,327.05
679,134.65,0.1000,170.00,134.65
680,146.25,0.1000,190.00,146.25
681,237.25,0.1000,305.00,237.25
682,228.30,0.1000,280.00,228.30
683,236.10,0.1000,315.00,236.10
684,208.60,0.1000,275.00,208.60
685,141.10,0.1000,175.00,141.10
686,279.75,0.1000,345.00,279.75
687,159.30,0.1000,220.00,159.30
688,69.10,0.1000,100.00,69.10
689,345.15,0.1000,455.00,345.15
690,342.35,0.1000,390.00,342.35
691,255.80,0.1000,320.00,255.80
