Episode,Avg_Reward,Epsilon,Original_Reward,Shaped_Reward
266,150.00,0.7567,185.00,150.00,137111
267,196.59,0.7553,230.00,196.59,137699
268,181.89,0.7539,215.00,181.89,138274
269,155.30,0.7525,190.00,155.30,138888
270,116.03,0.7511,160.00,116.03,139662
271,101.14,0.7497,125.00,101.14,140083
272,67.72,0.7483,95.00,67.72,140563
273,126.31,0.7468,150.00,126.31,140979
274,311.70,0.7454,365.00,311.70,141912
275,190.44,0.7440,225.00,190.44,142516
276,473.03,0.7426,515.00,473.03,143259
277,307.80,0.7412,355.00,307.80,144070
278,279.13,0.7398,315.00,279.13,144691
279,84.43,0.7384,110.00,84.43,145141
280,100.77,0.7369,120.00,100.77,145482
281,94.53,0.7355,125.00,94.53,146022
282,68.40,0.7341,90.00,68.40,146401
283,39.23,0.7327,60.00,39.23,146767
284,133.75,0.7313,165.00,133.75,147319
285,150.10,0.7299,180.00,150.10,147838
286,56.80,0.7285,80.00,56.80,148239
287,55.60,0.7270,80.00,55.60,148659
288,166.12,0.7256,230.00,166.12,149781
289,249.45,0.7242,285.00,249.45,150399
290,138.51,0.7228,180.00,138.51,151139
291,81.04,0.7214,105.00,81.04,151564
292,195.38,0.7200,235.00,195.38,152262
293,95.19,0.7186,120.00,95.19,152697
294,180.03,0.7171,210.00,180.03,153219
295,112.04,0.7157,140.00,112.04,153713
296,131.88,0.7143,155.00,131.88,154118
297,426.15,0.7129,475.00,426.15,154949
298,85.28,0.7115,110.00,85.28,155388
299,109.45,0.7101,135.00,109.45,155845
300,14.66,0.7087,30.00,14.66,156117
301,-11.50,0.7072,10.00,-11.50,156502
302,111.88,0.7058,140.00,111.88,156993
303,-0.30,0.7044,20.00,-0.30,157348
304,484.00,0.7030,535.00,484.00,158250
305,164.56,0.7016,205.00,164.56,158960
306,225.61,0.7002,260.00,225.61,159545
307,183.49,0.6988,215.00,183.49,160086
308,181.30,0.6973,210.00,181.30,160578
309,200.29,0.6959,240.00,200.29,161265
310,84.47,0.6945,110.00,84.47,161713
311,157.05,0.6931,195.00,157.05,162365
312,257.80,0.6917,300.00,257.80,163116
313,182.09,0.6903,210.00,182.09,163611
314,25.46,0.6889,45.00,25.46,163952
315,10.50,0.6874,30.00,10.50,164298
316,395.02,0.6860,450.00,395.02,165278
317,63.74,0.6846,90.00,63.74,165736
318,92.34,0.6832,120.00,92.34,166221
319,232.80,0.6818,285.00,232.80,167138
320,105.30,0.6804,140.00,105.30,167749
321,226.50,0.6790,275.00,226.50,168612
322,182.29,0.6775,210.00,182.29,169100
323,153.84,0.6761,180.00,153.84,169562
324,39.62,0.6747,60.00,39.62,169917
325,127.10,0.6733,155.00,127.10,170407
326,32.00,0.6719,60.00,32.00,170889
327,364.13,0.6705,425.00,364.13,171983
328,337.80,0.6691,375.00,337.80,172643
329,45.36,0.6676,65.00,45.36,172986
330,179.65,0.6662,210.00,179.65,173510
331,231.30,0.6648,270.00,231.30,174204
332,249.07,0.6634,300.00,249.07,175106
333,64.34,0.6620,80.00,64.34,175392
334,309.85,0.6606,345.00,309.85,175992
335,318.53,0.6592,365.00,318.53,176812
336,218.22,0.6577,250.00,218.22,177364
337,77.77,0.6563,105.00,77.77,177853
338,42.07,0.6549,60.00,42.07,178177
339,140.84,0.6535,170.00,140.84,178703
340,202.66,0.6521,245.00,202.66,179421
341,196.93,0.6507,230.00,196.93,180007
342,33.75,0.6493,50.00,33.75,180294
343,153.29,0.6478,180.00,153.29,180778
344,92.48,0.6464,120.00,92.48,181254
345,34.67,0.6450,60.00,34.67,181712
346,102.47,0.6436,135.00,102.47,182280
347,84.05,0.6422,100.00,84.05,182565
348,188.03,0.6408,225.00,188.03,183217
349,284.97,0.6394,330.00,284.97,184012
350,63.97,0.6379,80.00,63.97,184305
351,87.52,0.6365,105.00,87.52,184616
352,322.87,0.6351,360.00,322.87,185282
353,12.74,0.6337,30.00,12.74,185585
354,185.41,0.6323,225.00,185.41,186273
355,205.80,0.6309,240.00,205.80,186887
356,211.59,0.6295,240.00,211.59,187397
357,190.80,0.6280,230.00,190.80,188104
358,39.03,0.6266,60.00,39.03,188480
359,233.70,0.6252,270.00,233.70,189117
360,519.14,0.6238,570.00,519.14,190031
361,162.07,0.6224,195.00,162.07,190613
362,315.88,0.6210,365.00,315.88,191481
363,15.30,0.6196,35.00,15.30,191827
364,63.57,0.6181,80.00,63.57,192116
365,256.33,0.6167,300.00,256.33,192891
366,324.13,0.6153,380.00,324.13,193872
367,227.51,0.6139,260.00,227.51,194430
368,113.85,0.6125,155.00,113.85,195167
369,264.34,0.6111,305.00,264.34,195873
370,177.46,0.6097,210.00,177.46,196463
371,83.37,0.6082,110.00,83.37,196939
372,39.18,0.6068,60.00,39.18,197315
373,80.29,0.6054,105.00,80.29,197759
374,84.03,0.6040,110.00,84.03,198221
375,108.37,0.6026,135.00,108.37,198698
376,84.56,0.6012,110.00,84.56,199155
377,241.43,0.5998,280.00,241.43,199840
378,146.72,0.5983,180.00,146.72,200419
379,101.46,0.5969,120.00,101.46,200756
380,65.19,0.5955,90.00,65.19,201196
381,36.78,0.5941,60.00,36.78,201611
